Date : 2024-03-31 23:00:37
Directory : d:\Coding\Learn
Total : 679 files,  19721 codes, 3941 comments, 1194 blanks, all 24856 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| C&CPP\luogu\2024\202402\week1                                                                  |         22 |        711 |        521 |          1 |      1,233 |
| C&CPP\luogu\2024\202402\week2                                                                  |         31 |      1,050 |        120 |          7 |      1,177 |
| C&CPP\luogu\2024\202402\week3                                                                  |         25 |        789 |        239 |          6 |      1,034 |
| C&CPP\luogu\2024\202403                                                                        |        133 |      3,937 |        923 |         37 |      4,897 |
| C&CPP\luogu\2024\202403\week1                                                                  |         34 |        957 |        521 |         11 |      1,489 |
| C&CPP\luogu\2024\202403\week2                                                                  |         33 |        962 |         61 |         11 |      1,034 |
| C&CPP\luogu\2024\202403\week3                                                                  |         34 |      1,104 |        165 |         10 |      1,279 |
| C&CPP\luogu\2024\202403\week4                                                                  |         32 |        914 |        176 |          5 |      1,095 |
| C&CPP\luogu\dp                                                                                 |         15 |        473 |        130 |         10 |        613 |
| C&CPP\others                                                                                   |         93 |      2,298 |        237 |        276 |      2,811 |
| C&CPP\others (Files)                                                                           |         13 |        285 |         17 |         30 |        332 |
| C&CPP\others\BuildYourOwnLisp                                                                  |          4 |         95 |          6 |         22 |        123 |
| C&CPP\others\CourseWork                                                                        |         17 |        455 |         30 |         58 |        543 |
| C&CPP\others\CourseWork (Files)                                                                |         15 |        385 |          8 |         39 |        432 |
| C&CPP\others\CourseWork\DataStructures                                                         |          2 |         70 |         22 |         19 |        111 |
| C&CPP\others\DataStructures                                                                    |          5 |        144 |         23 |          8 |        175 |
| C&CPP\others\DataStructures\Graph                                                              |          1 |         43 |         23 |          0 |         66 |
| C&CPP\others\DataStructures\Tree                                                               |          3 |         91 |          0 |          7 |         98 |
| C&CPP\others\DataStructures\Tree (Files)                                                       |          2 |         72 |          0 |          7 |         79 |
| C&CPP\others\DataStructures\Tree\DFS                                                           |          1 |         19 |          0 |          0 |         19 |
| C&CPP\others\DataStructures\vector                                                             |          1 |         10 |          0 |          1 |         11 |
| C&CPP\others\PTA                                                                               |          6 |        191 |         28 |         15 |        234 |
| C&CPP\others\Project                                                                           |         27 |        799 |        121 |        108 |      1,028 |
| C&CPP\others\Project\OpenBox                                                                   |          4 |         37 |         23 |          4 |         64 |
| C&CPP\others\Project\Whale Market                                                              |         13 |        276 |         75 |         38 |        389 |
| C&CPP\others\Project\Whale Market (Files)                                                      |          2 |         48 |         72 |         22 |        142 |
| C&CPP\others\Project\Whale Market\.idea                                                        |          5 |        121 |          0 |          0 |        121 |
| C&CPP\others\Project\Whale Market\include                                                      |          3 |         46 |          2 |          9 |         57 |
| C&CPP\others\Project\Whale Market\include (Files)                                              |          1 |         10 |          0 |          3 |         13 |
| C&CPP\others\Project\Whale Market\include\tools                                                |          2 |         36 |          2 |          6 |         44 |
| C&CPP\others\Project\Whale Market\src                                                          |          3 |         61 |          1 |          7 |         69 |
| C&CPP\others\Project\Whale Market\src (Files)                                                  |          1 |         16 |          0 |          2 |         18 |
| C&CPP\others\Project\Whale Market\src\tools                                                    |          2 |         45 |          1 |          5 |         51 |
| C&CPP\others\Project\md5                                                                       |          4 |         52 |         23 |          8 |         83 |
| C&CPP\others\Project\md5-master                                                                |          6 |        434 |          0 |         58 |        492 |
| C&CPP\others\Project\md5-master (Files)                                                        |          4 |        247 |          0 |         37 |        284 |
| C&CPP\others\Project\md5-master\include                                                        |          2 |        187 |          0 |         21 |        208 |
| C&CPP\others\TheCProgrammingLanguage                                                           |          8 |         94 |          6 |         11 |        111 |
| C&CPP\others\TheCProgrammingLanguage\charpter1                                                 |          8 |         94 |          6 |         11 |        111 |
| C&CPP\others\darkhouse                                                                         |         12 |        201 |          6 |         22 |        229 |
| C&CPP\others\darkhouse (Files)                                                                 |          7 |         77 |          1 |         14 |         92 |
| C&CPP\others\darkhouse\examples                                                                |          5 |        124 |          5 |          8 |        137 |
| C&CPP\others\games                                                                             |          1 |         34 |          0 |          2 |         36 |
| CPEditor                                                                                       |         30 |      1,073 |        100 |         28 |      1,201 |
| CPEditor (Files)                                                                               |         20 |        775 |         52 |         19 |        846 |
| CPEditor\contest                                                                               |          8 |        265 |         48 |          6 |        319 |
| CPEditor\template                                                                              |          2 |         33 |          0 |          3 |         36 |
| Java                                                                                           |         96 |      2,971 |        399 |        521 |      3,891 |
| Java (Files)                                                                                   |          6 |        342 |          0 |         66 |        408 |
| Java\JavaWeb                                                                                   |          3 |         56 |          0 |          3 |         59 |
| Java\JavaWeb\HTML                                                                              |          3 |         56 |          0 |          3 |         59 |
| Java\JavaWeb\HTML\BoxModel                                                                     |          1 |         23 |          0 |          2 |         25 |
| Java\JavaWeb\HTML\SrunLogin                                                                    |          2 |         33 |          0 |          1 |         34 |
| Java\JavaWeb\HTML\SrunLogin (Files)                                                            |          1 |         15 |          0 |          1 |         16 |
| Java\JavaWeb\HTML\SrunLogin\css                                                                |          1 |         18 |          0 |          0 |         18 |
| Java\basic_syntax                                                                              |         21 |        557 |        129 |        104 |        790 |
| Java\basic_syntax (Files)                                                                      |          2 |         55 |          0 |         13 |         68 |
| Java\basic_syntax\ArrayLearn                                                                   |          1 |         35 |          8 |          5 |         48 |
| Java\basic_syntax\FlowControl                                                                  |          5 |         79 |         28 |         18 |        125 |
| Java\basic_syntax\Function                                                                     |          1 |         81 |          1 |         10 |         92 |
| Java\basic_syntax\ProgramCase                                                                  |          7 |        202 |         69 |         30 |        301 |
| Java\basic_syntax\data types and operators                                                     |          5 |        105 |         23 |         28 |        156 |
| Java\course                                                                                    |          8 |        149 |         22 |         38 |        209 |
| Java\course (Files)                                                                            |          7 |        125 |         22 |         35 |        182 |
| Java\course\ys                                                                                 |          1 |         24 |          0 |          3 |         27 |
| Java\examples                                                                                  |         18 |        888 |         70 |        139 |      1,097 |
| Java\java_advanced                                                                             |         38 |        925 |        178 |        161 |      1,264 |
| Java\java_advanced (Files)                                                                     |          4 |         76 |          3 |         11 |         90 |
| Java\java_advanced\AWT                                                                         |          2 |         25 |          0 |          5 |         30 |
| Java\java_advanced\Mltithreading                                                               |          3 |        184 |         38 |         27 |        249 |
| Java\java_advanced\NetworkProgram                                                              |          7 |        120 |          5 |         22 |        147 |
| Java\java_advanced\NetworkProgram (Files)                                                      |          1 |         14 |          5 |          3 |         22 |
| Java\java_advanced\NetworkProgram\TCP                                                          |          2 |         31 |          0 |          6 |         37 |
| Java\java_advanced\NetworkProgram\UDP                                                          |          4 |         75 |          0 |         13 |         88 |
| Java\java_advanced\class                                                                       |          8 |        211 |         40 |         57 |        308 |
| Java\java_advanced\collection                                                                  |          6 |         96 |         79 |         16 |        191 |
| Java\java_advanced\generic                                                                     |          3 |         42 |          1 |          9 |         52 |
| Java\java_advanced\io                                                                          |          5 |        171 |         12 |         14 |        197 |
| Java\thinking_in_java                                                                          |          2 |         54 |          0 |         10 |         64 |
| Java\thinking_in_java\polymorphism                                                             |          2 |         54 |          0 |         10 |         64 |
| Note                                                                                           |          2 |        127 |          0 |         25 |        152 |
| Note (Files)                                                                                   |          1 |         69 |          0 |         15 |         84 |
| Note\algorithm                                                                                 |          1 |         58 |          0 |         10 |         68 |
| Web                                                                                            |          1 |         15 |          0 |          0 |         15 |
| Web\OnlineBookShop                                                                             |          1 |         15 |          0 |          0 |         15 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                       | language        | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| d:\Coding\Learn\C&CPP\CodeForces\Good Bye 2023\B.cpp                                           | C++             |         28 |         10 |          4 |         42 |
| d:\Coding\Learn\C&CPP\CodeForces\Round159\A.cpp                                                | C++             |         17 |          1 |          0 |         18 |
| d:\Coding\Learn\C&CPP\CodeForces\Round159\C.cpp                                                | C++             |         26 |          0 |          0 |         26 |
| d:\Coding\Learn\C&CPP\CodeForces\Round913\A.cpp                                                | C++             |         17 |          0 |          0 |         17 |
| d:\Coding\Learn\C&CPP\CodeForces\Round913\B.cpp                                                | C++             |         40 |          0 |          2 |         42 |
| d:\Coding\Learn\C&CPP\CodeForces\Round913\C.cpp                                                | C++             |         47 |          0 |          0 |         47 |
| d:\Coding\Learn\C&CPP\IntroductionToTheAlgorithmContestClassic\charpter7\print_permutation.cpp | C++             |         44 |          1 |          0 |         45 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\20231210\README.md                                         | Markdown        |          1 |          0 |          0 |          1 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\20231210\b.cpp                                             | C++             |         22 |          0 |          1 |         23 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\20231210\c.cpp                                             | C++             |         26 |          0 |          2 |         28 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\20231210\d.cpp                                             | C++             |         16 |         28 |          0 |         44 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\README.md                                         | Markdown        |          1 |          0 |          0 |          1 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\a.cpp                                             | C++             |         37 |          9 |          1 |         47 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\a1.cpp                                            | C++             |         37 |          9 |          1 |         47 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\d.cpp                                             | C++             |         10 |          0 |          0 |         10 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\f.cpp                                             | C++             |         63 |          6 |          2 |         71 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\g.cpp                                             | C++             |         29 |         10 |          1 |         40 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\h.cpp                                             | C++             |         24 |          0 |          0 |         24 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\k.cpp                                             | C++             |         13 |          0 |          0 |         13 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\20231217\test.cpp                                          | C++             |         22 |          0 |          1 |         23 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P1001.cpp                                          | C++             |         32 |          0 |          0 |         32 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P1021.cpp                                          | C++             |         64 |          0 |          0 |         64 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P11.cpp                                            | C++             |         36 |          0 |          3 |         39 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P11.java                                           | Java            |         13 |          0 |          3 |         16 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P1539A.cpp                                         | C++             |         25 |          0 |          1 |         26 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P2021102101.cpp                                    | C++             |         55 |          0 |          0 |         55 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P2023051701.cpp                                    | C++             |         23 |          0 |          0 |         23 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P255.cpp                                           | C++             |         98 |          1 |          1 |        100 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\P4.cpp                                             | C++             |         27 |          0 |          0 |         27 |
| d:\Coding\Learn\C&CPP\contest\NCUOJ\Nothing\c.java                                             | Java            |          7 |          0 |          2 |          9 |
| d:\Coding\Learn\C&CPP\contest\nowcoder\20231117\q1.cpp                                         | C++             |         17 |          0 |          0 |         17 |
| d:\Coding\Learn\C&CPP\contest\nowcoder\20231124\p2.cpp                                         | C++             |         16 |         22 |          1 |         39 |
| d:\Coding\Learn\C&CPP\contest\nowcoder\20231124\q1.cpp                                         | C++             |         19 |         15 |          0 |         34 |
| d:\Coding\Learn\C&CPP\contest\nowcoder\NC16422.cpp                                             | C++             |         38 |          0 |          0 |         38 |
| d:\Coding\Learn\C&CPP\contest\nowcoder\NC16538.cpp                                             | C++             |         15 |         14 |          0 |         29 |
| d:\Coding\Learn\C&CPP\contest\nowcoder\NC16749.cpp                                             | C++             |         11 |          0 |          2 |         13 |
| d:\Coding\Learn\C&CPP\contest\nowcoder\NC50562.cpp                                             | C++             |         31 |          0 |          1 |         32 |
| d:\Coding\Learn\C&CPP\contest\nowcoder\NewbieMonthlyContest\20231201\A.cpp                     | C++             |         19 |          0 |          0 |         19 |
| d:\Coding\Learn\C&CPP\contest\nowcoder\NewbieMonthlyContest\20231201\B.cpp                     | C++             |         22 |          0 |          1 |         23 |
| d:\Coding\Learn\C&CPP\contest\nowcoder\[USACO 2007 Feb S]The Cow Lexicon.cpp                   | C++             |         12 |          0 |          1 |         13 |
| d:\Coding\Learn\C&CPP\include\LinkList.c                                                       | C               |         89 |          0 |          8 |         97 |
| d:\Coding\Learn\C&CPP\include\LinkList.h                                                       | C++             |         16 |          0 |          1 |         17 |
| d:\Coding\Learn\C&CPP\include\SeqList.c                                                        | C               |         84 |          0 |          7 |         91 |
| d:\Coding\Learn\C&CPP\include\SeqList.h                                                        | C++             |         22 |          0 |          5 |         27 |
| d:\Coding\Learn\C&CPP\include\SqStack.c                                                        | C               |         48 |          0 |          5 |         53 |
| d:\Coding\Learn\C&CPP\include\SqStack.h                                                        | C++             |         16 |          0 |          2 |         18 |
| d:\Coding\Learn\C&CPP\include\Sqqueue.c                                                        | C               |         34 |          0 |          0 |         34 |
| d:\Coding\Learn\C&CPP\include\Sqqueue.h                                                        | C++             |         15 |          0 |          2 |         17 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\1009.cpp                                               | C++             |         12 |          9 |          0 |         21 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\1423.cpp                                               | C++             |         14 |          0 |          1 |         15 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\2141.cpp                                               | C++             |         26 |          9 |          0 |         35 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\5722.cpp                                               | C++             |         11 |          0 |          0 |         11 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\5723.cpp                                               | C++             |         26 |          0 |          3 |         29 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P1003.cpp                                              | C++             |         17 |          0 |          0 |         17 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P1003.java                                             | Java            |         24 |          0 |          1 |         25 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P1014.cpp                                              | C++             |         30 |          0 |          2 |         32 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P1075.cpp                                              | C++             |         12 |         22 |          0 |         34 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P1102.cpp                                              | C++             |         19 |         45 |          3 |         67 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P1102.java                                             | Java            |         11 |         37 |          2 |         50 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P1208.cpp                                              | C++             |         23 |         43 |          3 |         69 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P1420.cpp                                              | C++             |         21 |          0 |          0 |         21 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P1427.cpp                                              | C++             |         18 |          0 |          0 |         18 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P1720.cpp                                              | C++             |         17 |          0 |          0 |         17 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P2141.cpp                                              | C++             |         10 |          0 |          1 |         11 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P2240.cpp                                              | C++             |         30 |          6 |          1 |         37 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P2669.cpp                                              | C++             |         15 |          0 |          0 |         15 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P2695.cpp                                              | C++             |         32 |         16 |          8 |         56 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P3613.cpp                                              | C++             |         22 |          0 |          0 |         22 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P4956.cpp                                              | C++             |         14 |          0 |          0 |         14 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P5594.cpp                                              | C++             |         19 |          0 |          1 |         20 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P5725.cpp                                              | C++             |         24 |          0 |          0 |         24 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P5726.cpp                                              | C++             |         18 |          0 |          0 |         18 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P5727.cpp                                              | C++             |         24 |          0 |          0 |         24 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P5728.cpp                                              | C++             |         25 |          3 |          2 |         30 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P5729.cpp                                              | C++             |         34 |         86 |         51 |        171 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\P5730.cpp                                              | C++             |         98 |          0 |          3 |        101 |
| d:\Coding\Learn\C&CPP\luogu\2023\202310\p1428.cpp                                              | C++             |         24 |          0 |          1 |         25 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1009.cpp                                        | C++             |          4 |          0 |          1 |          5 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1009.java                                       | Java            |         10 |          0 |          2 |         12 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1059.cpp                                        | C++             |         23 |          0 |          0 |         23 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1093.cpp                                        | C++             |         31 |          0 |          1 |         32 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1125.cpp                                        | C++             |         25 |          0 |          0 |         25 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1177.cpp                                        | C++             |         17 |          0 |          0 |         17 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1217.cpp                                        | C++             |        101 |          0 |          2 |        103 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1271.cpp                                        | C++             |         10 |         19 |          0 |         29 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1303.cpp                                        | C++             |         33 |          0 |          0 |         33 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1303.java                                       | Java            |          7 |          0 |          1 |          8 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1304.cpp                                        | C++             |         30 |          0 |          0 |         30 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1554.cpp                                        | C++             |         19 |          0 |          0 |         19 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1563.cpp                                        | C++             |         30 |         28 |          0 |         58 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1601.cpp                                        | C++             |         25 |          0 |          0 |         25 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1601.java                                       | Java            |          7 |          0 |          0 |          7 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1614.cpp                                        | C++             |         19 |          0 |          0 |         19 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1781.cpp                                        | C++             |         22 |          0 |          0 |         22 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1914.cpp                                        | C++             |         14 |          0 |          1 |         15 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1923.cpp                                        | C++             |         12 |         47 |          0 |         59 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P1957.cpp                                        | C++             |          0 |         34 |          4 |         38 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P2415.cpp                                        | C++             |         12 |          0 |          0 |         12 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P2550.cpp                                        | C++             |         26 |          0 |          0 |         26 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P2615.cpp                                        | C++             |         32 |         62 |          0 |         94 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P2670.cpp                                        | C++             |         36 |          0 |          0 |         36 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P4924.cpp                                        | C++             |         55 |          0 |          1 |         56 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P5461.cpp                                        | C++             |         23 |          0 |          0 |         23 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P5731.cpp                                        | C++             |         27 |          0 |          2 |         29 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P5732.cpp                                        | C++             |         25 |          0 |          0 |         25 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P5733.cpp                                        | C++             |         12 |          0 |          1 |         13 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P5735.cpp                                        | C++             |         10 |          0 |          0 |         10 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P5736.cpp                                        | C++             |         26 |          0 |          0 |         26 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P5737.cpp                                        | C++             |         24 |          0 |          0 |         24 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P5738.cpp                                        | C++             |         23 |          0 |          0 |         23 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P5739.cpp                                        | C++             |          9 |          0 |          0 |          9 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P5740.cpp                                        | C++             |         19 |          0 |          0 |         19 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P5741.cpp                                        | C++             |         28 |          0 |          1 |         29 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P5742.cpp                                        | C++             |         21 |          0 |          0 |         21 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P5743.cpp                                        | C++             |          8 |          4 |          1 |         13 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week1\P5744.cpp                                        | C++             |         19 |          0 |          0 |         19 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week2\P1008.cpp                                        | C++             |         27 |          2 |          0 |         29 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week2\P1012.cpp                                        | C++             |         17 |          0 |          1 |         18 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week2\P1068.cpp                                        | C++             |         32 |          0 |          0 |         32 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week2\P1104.cpp                                        | C++             |         34 |          0 |          0 |         34 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week2\P1116.cpp                                        | C++             |         21 |          0 |          0 |         21 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week2\P1152.cpp                                        | C++             |         24 |         24 |         28 |         76 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week2\P1618.cpp                                        | C++             |         32 |         21 |          0 |         53 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week2\P2676.cpp                                        | C++             |         16 |          0 |          0 |         16 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week2\P5143.cpp                                        | C++             |         27 |          0 |          0 |         27 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week3\NP1090.cpp                                       | C++             |         21 |         41 |         29 |         91 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week3\NP1106.cpp                                       | C++             |         33 |          0 |          1 |         34 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week3\NP1149.cpp                                       | C++             |         21 |          0 |          0 |         21 |
| d:\Coding\Learn\C&CPP\luogu\2023\202311\week3\NP3654.cpp                                       | C++             |         40 |          0 |          1 |         41 |
